B,G,R,Color
149,149,151,White
149,149,151,White
184,185,179,White
182,183,179,White
183,183,183,White
182,183,179,White
183,184,183,White
184,183,178,White
183,186,179,White
184,185,181,White
190,190,190,White
187,188,188,White
185,186,186,White
188,188,188,White
186,190,190,White
185,188,188,White
184,188,188,White
189,188,184,White
182,189,188,White
189,189,189,White
162,176,178,White
172,189,188,White
171,183,185,White
177,185,187,White
167,178,182,White
165,179,184,White
168,187,189,White
173,184,189,White
170,184,187,White
165,181,184,White
172,191,195,White
169,190,194,White
172,190,195,White
166,187,191,White
166,188,190,White
173,189,194,White
170,190,195,White
169,188,191,White
164,185,188,White
173,188,193,White
181,187,190,White
172,188,187,White
183,188,192,White
178,188,187,White
178,185,188,White
173,188,190,White
179,188,191,White
179,187,190,White
176,187,190,White
179,185,188,White
184,182,175,White
179,181,172,White
181,182,176,White
183,180,174,White
181,182,176,White
184,185,180,White
180,185,181,White
181,188,187,White
181,186,182,White
184,185,181,White
179,180,174,White
179,180,176,White
182,179,175,White
180,180,173,White
184,181,172,White
181,182,178,White
177,177,169,White
181,178,172,White
182,179,173,White
181,181,181,White
179,183,183,White
178,185,184,White
179,186,185,White
178,188,187,White
179,187,186,White
177,188,187,White
172,189,187,White
181,184,184,White
181,185,185,White
181,188,187,White
169,186,192,White
171,185,189,White
167,184,189,White
167,186,187,White
171,187,190,White
174,185,188,White
170,185,188,White
169,185,190,White
171,186,188,White
174,186,189,White
35,41,27,Yellow
37,51,38,Yellow
31,42,16,Yellow
36,45,33,Yellow
51,58,50,Yellow
51,58,50,Yellow
35,48,46,Yellow
32,37,26,Yellow
36,40,32,Yellow
10,35,27,Yellow
119,162,203,Yellow
123,163,201,Yellow
123,164,201,Yellow
27,43,45,Yellow
23,49,54,Yellow
123,165,209,Yellow
118,160,204,Yellow
120,163,205,Yellow
125,162,207,Yellow
113,159,197,Yellow
119,163,201,Yellow
133,178,217,Yellow
127,176,217,Yellow
139,187,230,Yellow
126,178,220,Yellow
140,183,221,Yellow
139,187,228,Yellow
126,172,215,Yellow
136,185,226,Yellow
137,186,225,Yellow
119,178,219,Yellow
141,190,228,Yellow
126,180,223,Yellow
142,199,239,Yellow
132,189,224,Yellow
124,186,227,Yellow
109,168,197,Yellow
118,177,211,Yellow
115,171,206,Yellow
74,128,145,Yellow
0,21,8,Yellow
71,193,187,Yellow
80,191,177,Yellow
1,42,39,Yellow
0,40,43,Yellow
0,45,41,Yellow
0,36,28,Yellow
13,42,44,Yellow
1,35,28,Yellow
11,65,57,Yellow
0,20,9,Yellow
1,41,37,Yellow
11,63,52,Yellow
29,63,60,Yellow
4,53,40,Yellow
7,63,47,Yellow
0,43,27,Yellow
0,55,41,Yellow
0,43,36,Yellow
0,37,25,Yellow
4,65,50,Yellow
6,69,57,Yellow
5,60,48,Yellow
0,57,35,Yellow
3,62,50,Yellow
78,173,163,Yellow
78,175,165,Yellow
76,181,169,Yellow
77,173,168,Yellow
66,154,146,Yellow
0,59,48,Yellow
1,56,50,Yellow
0,56,55,Yellow
4,58,51,Yellow
1,59,50,Yellow
14,58,59,Yellow
20,72,67,Yellow
13,65,66,Yellow
68,158,156,Yellow
64,147,152,Yellow
25,74,90,Yellow
33,84,98,Yellow
31,88,104,Yellow
127,183,217,Yellow
124,187,222,Yellow
119,184,220,Yellow
22,78,88,Yellow
140,194,230,Yellow
121,187,220,Yellow
101,171,197,Yellow
4,19,20,Red
0,29,133,Red
7,27,26,Red
3,26,84,Red
8,17,25,Red
2,27,108,Red
0,25,116,Red
1,28,139,Red
1,29,135,Red
5,22,83,Red
1,36,144,Red
0,31,148,Red
10,26,56,Red
1,40,152,Red
1,36,141,Red
0,31,148,Red
14,22,28,Red
8,21,32,Red
11,20,53,Red
9,23,54,Red
2,37,54,Red
3,52,128,Red
4,24,35,Red
11,49,146,Red
62,140,158,Red
2,24,24,Red
4,27,33,Red
3,39,53,Red
6,41,52,Red
2,40,46,Red
0,48,161,Red
3,50,132,Red
6,35,53,Red
2,53,165,Red
3,34,54,Red
10,50,162,Red
1,37,47,Red
8,51,162,Red
8,49,160,Red
2,50,160,Red
1,25,158,Red
0,29,150,Red
3,34,156,Red
1,36,157,Red
6,30,157,Red
1,32,152,Red
0,28,154,Red
2,28,152,Red
0,27,157,Red
0,30,154,Red
3,24,57,Red
5,22,27,Red
9,23,33,Red
4,36,119,Red
2,32,142,Red
2,25,110,Red
12,17,27,Red
6,30,141,Red
4,30,144,Red
0,32,132,Red
21,38,112,Red
5,26,39,Red
9,22,29,Red
15,29,36,Red
13,29,34,Red
9,27,30,Red
7,31,35,Red
20,28,30,Red
5,25,43,Red
18,28,40,Red
5,34,142,Red
2,34,145,Red
1,34,145,Red
1,35,146,Red
9,41,149,Red
8,38,152,Red
4,33,145,Red
2,32,146,Red
0,37,144,Red
1,37,143,Red
9,52,161,Red
4,40,65,Red
15,50,70,Red
11,55,163,Red
4,43,53,Red
21,62,152,Red
6,52,157,Red
13,61,157,Red
15,60,147,Red
7,58,153,Red
74,140,166,Orange
72,135,157,Orange
41,98,114,Orange
114,180,206,Orange
26,54,62,Orange
27,74,78,Orange
49,99,97,Orange
81,135,129,Orange
131,202,195,Orange
74,135,131,Orange
54,110,116,Orange
80,107,97,Orange
39,70,106,Orange
40,63,108,Orange
96,165,159,Orange
67,67,48,Orange
21,37,41,Orange
107,172,162,Orange
63,126,118,Orange
63,68,56,Orange
11,16,27,Orange
12,42,90,Orange
22,26,45,Orange
63,118,243,Orange
88,93,83,Orange
37,48,60,Orange
7,21,55,Orange
9,19,37,Orange
14,19,25,Orange
11,19,25,Orange
60,116,243,Orange
37,71,145,Orange
3,18,57,Orange
0,16,49,Orange
8,18,56,Orange
14,28,59,Orange
11,31,61,Orange
37,87,193,Orange
17,33,65,Orange
4,26,57,Orange
5,11,14,Orange
3,13,22,Orange
64,119,251,Orange
71,122,238,Orange
9,14,23,Orange
3,12,18,Orange
16,47,98,Orange
50,113,242,Orange
14,32,35,Orange
49,121,255,Orange
4,31,80,Orange
4,18,66,Orange
0,7,39,Orange
2,8,29,Orange
0,11,39,Orange
0,27,61,Orange
11,27,54,Orange
4,23,53,Orange
9,21,47,Orange
2,21,53,Orange
97,176,219,Orange
87,166,210,Orange
80,164,207,Orange
64,144,184,Orange
61,146,185,Orange
94,190,246,Orange
104,191,245,Orange
100,192,242,Orange
104,192,241,Orange
100,193,242,Orange
0,48,78,Orange
2,47,76,Orange
0,38,63,Orange
106,196,245,Orange
105,201,245,Orange
105,189,240,Orange
3,50,99,Orange
44,123,255,Orange
4,43,82,Orange
0,30,69,Orange
2,21,97,Orange
0,22,88,Orange
0,26,91,Orange
0,20,95,Orange
0,18,91,Orange
0,20,92,Orange
32,106,255,Orange
5,37,108,Orange
0,18,96,Orange
8,36,112,Orange
59,151,55,Green
43,152,59,Green
49,146,61,Green
9,26,14,Green
19,28,23,Green
15,22,7,Green
13,33,15,Green
35,152,65,Green
35,152,66,Green
5,56,26,Green
27,155,62,Green
34,121,67,Green
8,27,26,Green
34,153,62,Green
34,152,67,Green
2,39,26,Green
27,151,68,Green
31,144,68,Green
23,112,63,Green
11,75,35,Green
16,45,60,Green
39,154,83,Green
4,53,52,Green
19,54,75,Green
11,44,54,Green
44,156,76,Green
46,156,77,Green
30,127,69,Green
41,154,82,Green
40,154,80,Green
11,36,31,Green
14,50,47,Green
9,48,55,Green
45,70,91,Green
70,163,74,Green
26,84,50,Green
12,46,51,Green
33,64,78,Green
31,60,55,Green
40,91,68,Green
2,27,22,Green
12,13,8,Green
10,32,38,Green
37,160,69,Green
38,162,73,Green
45,162,71,Green
42,160,67,Green
34,160,62,Green
34,158,73,Green
43,159,69,Green
39,113,50,Green
7,37,15,Green
37,148,59,Green
6,42,15,Green
3,23,1,Green
42,152,53,Green
48,153,55,Green
4,49,5,Green
5,38,8,Green
10,46,6,Green
2,44,4,Green
2,42,9,Green
34,53,14,Green
3,34,1,Green
36,48,16,Green
75,152,48,Green
37,81,16,Green
75,152,37,Green
19,48,15,Green
46,101,25,Green
5,45,13,Green
17,43,19,Green
15,54,18,Green
12,55,20,Green
14,50,40,Green
14,52,27,Green
1,42,10,Green
16,92,51,Green
55,159,80,Green
61,160,82,Green
19,49,56,Green
103,177,213,Green
120,191,232,Green
123,198,235,Green
16,62,77,Green
11,53,67,Green
30,77,92,Green
26,86,101,Green
4,53,60,Green
120,193,232,Green
71,119,139,Blue
133,191,218,Blue
130,193,223,Blue
126,192,222,Blue
119,187,214,Blue
134,194,225,Blue
135,199,232,Blue
124,200,230,Blue
133,194,224,Blue
129,195,226,Blue
137,201,227,Blue
134,202,231,Blue
131,193,219,Blue
132,197,224,Blue
138,203,233,Blue
147,204,226,Blue
148,206,231,Blue
145,195,217,Blue
141,196,222,Blue
141,199,225,Blue
205,103,25,Blue
198,104,25,Blue
192,103,32,Blue
198,103,26,Blue
200,101,21,Blue
201,103,22,Blue
214,92,0,Blue
214,90,0,Blue
149,61,3,Blue
211,90,2,Blue
200,89,0,Blue
204,90,4,Blue
208,92,1,Blue
204,91,3,Blue
221,87,0,Blue
220,90,4,Blue
142,109,94,Blue
200,175,158,Blue
197,175,160,Blue
188,166,151,Blue
110,78,58,Blue
51,36,22,Blue
181,155,137,Blue
190,173,159,Blue
104,70,54,Blue
113,174,194,Blue
123,176,198,Blue
119,169,190,Blue
117,168,194,Blue
116,169,190,Blue
214,99,16,Blue
206,105,28,Blue
208,103,29,Blue
211,101,26,Blue
212,100,8,Blue
213,100,18,Blue
213,98,18,Blue
213,100,22,Blue
216,102,26,Blue
216,99,14,Blue
218,87,0,Blue
221,90,2,Blue
130,196,222,Blue
126,189,214,Blue
136,187,213,Blue
130,186,212,Blue
99,148,170,Blue
103,153,174,Blue
141,198,221,Blue
143,201,221,Blue
112,169,199,Blue
135,195,228,Blue
188,100,31,Blue
189,103,36,Blue
198,102,30,Blue
196,99,23,Blue
203,97,27,Blue
206,91,5,Blue
210,93,14,Blue
62,118,143,Blue
26,33,30,Blue
105,173,198,Blue
21,17,15,Blue
153,131,123,Blue
216,90,4,Blue
218,91,0,Blue
221,89,0,Blue
221,88,0,Blue
216,91,0,Blue
202,105,20,Blue
