B,G,R,Color
193,187,184,White
162,167,164,White
184,189,183,White
193,187,184,White
181,181,181,White
186,183,180,White
189,186,182,White
185,185,185,White
193,187,184,White
182,180,174,White
182,182,180,White
182,191,181,White
183,187,187,White
182,182,182,White
189,182,177,White
193,187,184,White
189,189,189,White
188,192,192,White
182,182,182,White
182,182,182,White
183,180,174,White
192,185,182,White
194,188,182,White
193,188,189,White
190,190,190,White
180,182,182,White
182,182,182,White
178,182,181,White
181,181,179,White
182,182,181,White
186,192,183,White
182,190,185,White
184,191,183,White
183,188,184,White
181,189,188,White
152,165,169,White
184,192,191,White
188,193,194,White
187,187,187,White
187,187,187,White
191,188,184,White
185,185,181,White
183,183,179,White
179,180,174,White
180,181,176,White
179,180,174,White
175,180,174,White
181,182,173,White
178,182,182,White
177,182,178,White
112,91,99,Yellow
133,99,105,Yellow
120,93,93,Yellow
124,93,100,Yellow
182,190,235,Yellow
174,179,224,Yellow
176,177,221,Yellow
169,177,221,Yellow
109,197,183,Yellow
107,196,182,Yellow
33,91,99,Yellow
98,194,185,Yellow
109,195,188,Yellow
112,196,188,Yellow
28,66,85,Yellow
100,190,182,Yellow
99,177,163,Yellow
106,194,181,Yellow
101,191,179,Yellow
79,166,157,Yellow
79,168,157,Yellow
35,78,93,Yellow
91,172,159,Yellow
96,187,175,Yellow
26,71,75,Yellow
25,102,103,Yellow
89,187,178,Yellow
92,186,177,Yellow
96,191,184,Yellow
98,192,183,Yellow
101,192,184,Yellow
63,145,139,Yellow
39,84,95,Yellow
98,195,180,Yellow
100,197,183,Yellow
102,196,179,Yellow
96,197,183,Yellow
67,154,150,Yellow
99,194,181,Yellow
13,50,60,Yellow
17,48,58,Yellow
102,195,180,Yellow
102,194,182,Yellow
88,188,179,Yellow
86,187,178,Yellow
0,53,58,Yellow
93,191,178,Yellow
86,183,170,Yellow
89,182,170,Yellow
61,149,139,Yellow
169,161,124,Red
16,64,67,Red
115,172,177,Red
121,148,148,Red
102,159,167,Red
102,149,148,Red
101,143,145,Red
105,144,147,Red
98,142,148,Red
90,136,142,Red
94,131,136,Red
96,133,134,Red
98,130,130,Red
34,60,64,Red
26,56,53,Red
11,19,21,Red
21,16,19,Red
8,15,20,Red
16,17,25,Red
22,16,17,Red
25,28,46,Red
16,16,17,Red
6,12,11,Red
27,23,35,Red
26,20,16,Red
30,36,128,Red
23,30,71,Red
26,22,33,Red
9,18,17,Red
13,17,18,Red
11,33,142,Red
13,25,20,Red
7,53,54,Red
14,41,40,Red
2,38,39,Red
14,30,136,Red
8,29,135,Red
16,28,113,Red
20,26,118,Red
8,28,90,Red
4,27,96,Red
18,26,108,Red
10,26,99,Red
21,29,104,Red
15,29,89,Red
2,28,86,Red
7,26,81,Red
8,22,49,Red
1,22,44,Red
0,26,51,Red
152,182,180,Orange
154,183,176,Orange
149,181,177,Orange
155,183,174,Orange
147,182,169,Orange
142,184,158,Orange
141,179,155,Orange
129,159,142,Orange
54,81,79,Orange
53,76,77,Orange
106,144,128,Orange
27,43,36,Orange
50,52,37,Orange
69,75,45,Orange
129,119,81,Orange
31,38,39,Orange
13,35,43,Orange
21,40,37,Orange
23,36,34,Orange
0,24,51,Orange
0,24,49,Orange
7,18,56,Orange
0,20,52,Orange
5,17,66,Orange
0,19,52,Orange
0,20,55,Orange
105,161,156,Orange
81,133,134,Orange
81,131,132,Orange
69,125,124,Orange
66,126,124,Orange
77,128,129,Orange
83,131,133,Orange
76,126,131,Orange
75,124,115,Orange
73,123,119,Orange
76,129,120,Orange
60,107,102,Orange
58,105,101,Orange
2,31,47,Orange
5,33,60,Orange
14,27,45,Orange
3,29,36,Orange
7,26,28,Orange
7,24,37,Orange
6,23,38,Orange
19,21,40,Orange
6,25,32,Orange
3,25,37,Orange
6,32,77,Orange
135,175,191,Green
135,171,190,Green
139,173,192,Green
135,169,191,Green
145,176,199,Green
77,75,73,Green
43,49,37,Green
71,70,76,Green
85,79,66,Green
48,59,50,Green
69,165,51,Green
19,36,9,Green
75,163,53,Green
69,165,52,Green
80,170,59,Green
57,128,35,Green
76,171,63,Green
65,133,39,Green
93,174,73,Green
81,165,69,Green
79,164,73,Green
21,69,41,Green
30,79,55,Green
87,166,74,Green
48,102,46,Green
6,50,34,Green
76,160,66,Green
81,164,81,Green
134,164,200,Green
96,123,139,Green
138,167,200,Green
134,169,202,Green
138,164,193,Green
156,182,219,Green
126,144,173,Green
159,188,226,Green
164,191,230,Green
160,188,231,Green
160,194,238,Green
126,157,193,Green
130,169,204,Green
126,165,197,Green
37,66,79,Green
60,98,120,Green
51,96,117,Green
60,89,107,Green
66,102,123,Green
126,151,184,Green
132,153,189,Green
101,125,154,Green
38,40,26,Blue
48,38,34,Blue
52,40,34,Blue
108,169,199,Blue
110,172,200,Blue
97,155,180,Blue
81,140,167,Blue
118,174,203,Blue
142,194,221,Blue
120,178,204,Blue
134,184,208,Blue
119,176,199,Blue
201,107,40,Blue
193,104,32,Blue
28,33,30,Blue
206,93,19,Blue
24,21,3,Blue
226,99,0,Blue
24,23,16,Blue
18,22,17,Blue
7,17,13,Blue
134,77,43,Blue
150,78,41,Blue
131,189,215,Blue
131,189,215,Blue
224,105,1,Blue
228,99,4,Blue
160,71,18,Blue
60,42,19,Blue
43,39,34,Blue
60,95,105,Blue
53,88,106,Blue
111,172,204,Blue
105,168,194,Blue
42,73,77,Blue
55,110,125,Blue
109,168,192,Blue
115,181,211,Blue
73,128,146,Blue
122,189,218,Blue
34,41,35,Blue
52,42,33,Blue
17,11,8,Blue
27,25,13,Blue
11,11,7,Blue
213,96,2,Blue
42,32,28,Blue
46,33,28,Blue
59,110,131,Blue
41,60,64,Blue
70,143,178,Blue
83,147,170,Blue
