H,S,V,Color
25,56,50,White
20,94,108,White
18,156,126,White
21,174,97,White
30,31,41,White
102,14,187,White
90,34,76,White
28,54,61,White
20,121,207,White
29,134,40,White
21,52,49,White
20,121,129,White
17,132,77,White
25,86,65,White
23,49,68,White
34,29,70,White
25,72,64,White
20,114,205,White
107,12,191,White
30,3,178,White
23,17,184,White
15,11,187,White
0,0,178,White
115,16,191,White
109,19,191,White
0,0,176,White
13,9,190,White
21,14,184,White
103,36,99,White
30,7,176,White
103,10,185,White
107,12,184,White
0,0,178,White
0,0,176,White
21,21,190,White
21,22,189,White
20,207,112,White
19,198,121,White
22,209,95,White
19,198,107,White
107,76,134,White
106,81,138,White
108,79,151,White
109,66,147,White
108,36,177,White
107,29,173,White
110,38,183,White
102,29,173,White
110,30,176,White
109,21,169,White
110,39,181,White
110,45,180,White
110,87,144,White
108,77,145,White
95,38,204,White
103,62,49,White
30,64,20,White
120,15,35,White
80,77,30,White
23,143,16,White
12,116,11,White
8,41,25,White
18,137,41,White
34,89,63,White
105,20,52,White
46,64,52,White
53,28,82,White
30,4,196,White
40,202,29,White
21,183,124,White
19,21,209,White
150,1,194,White
29,123,52,White
21,87,158,White
22,153,105,White
23,110,123,White
21,128,120,White
107,57,179,White
20,124,127,White
21,123,120,White
17,116,99,White
120,6,177,White
125,16,97,White
126,7,180,White
109,12,170,White
0,0,169,White
0,0,167,White
53,17,136,White
80,5,142,White
98,7,140,White
35,9,172,White
21,16,159,White
38,59,52,White
25,20,142,White
105,15,167,White
115,9,162,White
0,2,170,White
120,6,166,White
130,4,178,White
83,7,138,White
41,255,48,Yellow
33,187,175,Yellow
38,204,85,Yellow
34,199,156,Yellow
33,168,181,Yellow
34,156,185,Yellow
34,178,173,Yellow
34,208,145,Yellow
35,255,49,Yellow
40,255,24,Yellow
136,25,134,Yellow
33,163,186,Yellow
39,255,42,Yellow
34,190,122,Yellow
34,195,166,Yellow
35,192,161,Yellow
34,192,171,Yellow
114,25,162,Yellow
21,224,81,Yellow
15,170,72,Yellow
119,59,146,Yellow
35,165,172,Yellow
35,160,174,Yellow
36,157,167,Yellow
36,164,173,Yellow
100,47,137,Yellow
14,247,91,Yellow
10,247,95,Yellow
120,64,152,Yellow
37,149,169,Yellow
37,159,164,Yellow
41,255,37,Yellow
37,176,139,Yellow
38,155,170,Yellow
106,60,136,Yellow
29,165,192,Yellow
29,141,195,Yellow
24,160,75,Yellow
24,255,49,Yellow
27,167,201,Yellow
27,165,189,Yellow
16,131,208,Yellow
25,163,205,Yellow
14,125,234,Yellow
28,172,196,Yellow
27,149,200,Yellow
28,234,73,Yellow
24,238,73,Yellow
28,159,197,Yellow
28,191,104,Yellow
18,128,178,Yellow
28,162,195,Yellow
16,137,196,Yellow
32,132,186,Yellow
13,133,142,Yellow
32,132,183,Yellow
122,29,114,Yellow
32,127,183,Yellow
33,120,185,Yellow
23,90,203,Yellow
23,179,121,Yellow
28,167,205,Yellow
14,157,167,Yellow
53,241,18,Yellow
51,195,17,Yellow
19,194,50,Yellow
25,241,53,Yellow
54,255,33,Yellow
60,255,33,Yellow
47,255,16,Yellow
56,255,28,Yellow
52,177,26,Yellow
