B,G,R,Color
39,48,50,White
68,95,108,White
49,95,126,White
31,77,97,White
36,41,41,White
187,183,177,White
76,76,66,White
48,60,61,White
109,174,207,White
19,39,40,White
39,46,49,White
68,109,129,White
37,60,77,White
43,61,65,White
55,65,68,White
62,70,69,White
46,61,64,White
113,174,205,White
191,186,182,White
176,178,178,White
172,181,184,White
179,183,187,White
178,178,178,White
191,181,179,White
191,182,177,White
176,176,176,White
183,186,190,White
174,181,184,White
99,93,85,White
171,176,176,White
185,182,178,White
184,179,175,White
178,178,178,White
176,176,176,White
174,185,190,White
173,184,189,White
21,82,112,White
27,87,121,White
17,74,95,White
24,77,107,White
134,111,94,White
138,115,94,White
151,123,104,White
147,123,109,White
177,162,152,White
173,162,153,White
183,165,156,White
173,165,153,White
176,162,155,White
169,160,155,White
181,163,153,White
180,159,148,White
144,111,95,White
145,119,101,White
204,199,174,White
49,44,37,White
15,20,20,White
35,33,33,White
27,30,21,White
7,14,16,White
6,8,11,White
21,22,25,White
19,32,41,White
41,63,60,White
52,50,48,White
39,52,45,White
73,82,75,White
193,196,196,White
6,29,21,White
35,97,124,White
192,203,209,White
194,193,194,White
27,51,52,White
104,142,158,White
42,88,105,White
70,111,123,White
60,102,120,White
179,156,139,White
65,106,127,White
62,103,120,White
54,79,99,White
177,173,173,White
97,91,92,White
180,175,176,White
170,165,162,White
169,169,169,White
167,167,167,White
127,136,129,White
141,142,139,White
140,139,136,White
166,172,171,White
149,156,159,White
40,52,49,White
131,140,142,White
167,162,157,White
162,157,156,White
169,169,170,White
166,162,162,White
178,175,176,White
137,138,134,White
0,48,30,Yellow
47,175,162,Yellow
17,85,67,Yellow
34,156,140,Yellow
62,181,169,Yellow
72,185,170,Yellow
52,173,157,Yellow
27,145,129,Yellow
0,49,41,Yellow
0,24,16,Yellow
134,121,128,Yellow
67,186,174,Yellow
0,42,29,Yellow
31,122,110,Yellow
39,166,149,Yellow
40,161,141,Yellow
42,171,154,Yellow
162,149,146,Yellow
10,60,81,Yellow
24,48,72,Yellow
146,113,112,Yellow
61,172,153,Yellow
65,174,156,Yellow
64,167,146,Yellow
62,173,151,Yellow
137,129,112,Yellow
3,44,91,Yellow
3,34,95,Yellow
152,114,114,Yellow
70,169,146,Yellow
62,164,140,Yellow
0,37,23,Yellow
43,139,117,Yellow
